Pond1,Pond2,V1,V2,Resistance,X1,Y1,X2,Y2
NAT-7,31692,47,1354,0.0969368014323846,338364.5,5028036,337613.662866667,5028328.05836667
NAT-9,31692,48,1354,0.0960772365175995,337702.9688,5027617,337613.662866667,5028328.05836667
NAT-11,31692,49,1354,0.0841473957442822,338428.4688,5027688.5,337613.662866667,5028328.05836667
NAT-7,31694,47,1355,0.0462857934571612,338364.5,5028036,340336.818165591,5028306.90839355
NAT-10,31706,44,1358,0.0734697051479543,337577.3438,5027708,337051.013925082,5027160.69549018
NAT-2,31706,45,1358,0.0736932713544101,337878.25,5027308.5,337051.013925082,5027160.69549018
NAT-6,31706,46,1358,0.0560231308668591,337405.6563,5026972,337051.013925082,5027160.69549018
NAT-7,31706,47,1358,0.0806308853029993,338364.5,5028036,337051.013925082,5027160.69549018
NAT-9,31706,48,1358,0.0722109957298987,337702.9688,5027617,337051.013925082,5027160.69549018
NAT-11,31706,49,1358,0.0628987363818777,338428.4688,5027688.5,337051.013925082,5027160.69549018
NAT-10,31708,44,1359,0.0731153226360337,337577.3438,5027708,336887.212252774,5027135.84885984
NAT-2,31708,45,1359,0.0736518688901822,337878.25,5027308.5,336887.212252774,5027135.84885984
NAT-6,31708,46,1359,0.0569716571877085,337405.6563,5026972,336887.212252774,5027135.84885984
NAT-7,31708,47,1359,0.0782268642910083,338364.5,5028036,336887.212252774,5027135.84885984
NAT-9,31708,48,1359,0.0720440197537148,337702.9688,5027617,336887.212252774,5027135.84885984
NAT-11,31708,49,1359,0.0605686777491721,338428.4688,5027688.5,336887.212252774,5027135.84885984
NAT-10,31709,44,1360,0.0951662730542145,337577.3438,5027708,337134.22860308,5027153.40939442
NAT-2,31709,45,1360,0.0948659957826338,337878.25,5027308.5,337134.22860308,5027153.40939442
NAT-6,31709,46,1360,0.0766452369689277,337405.6563,5026972,337134.22860308,5027153.40939442
NAT-7,31709,47,1360,0.103858720329603,338364.5,5028036,337134.22860308,5027153.40939442
NAT-9,31709,48,1360,0.0936164417046098,337702.9688,5027617,337134.22860308,5027153.40939442
NAT-11,31709,49,1360,0.0860538899356582,338428.4688,5027688.5,337134.22860308,5027153.40939442
NAT-10,31711,44,1361,0.077928167748116,337577.3438,5027708,336675.427865937,5028404.61909546
NAT-2,31711,45,1361,0.0817750000514858,337878.25,5027308.5,336675.427865937,5028404.61909546
NAT-6,31711,46,1361,0.0712994395965219,337405.6563,5026972,336675.427865937,5028404.61909546
NAT-7,31711,47,1361,0.0797901801888314,338364.5,5028036,336675.427865937,5028404.61909546
NAT-9,31711,48,1361,0.0780045844218198,337702.9688,5027617,336675.427865937,5028404.61909546
NAT-11,31711,49,1361,0.0632572017239221,338428.4688,5027688.5,336675.427865937,5028404.61909546
NAT-10,31712,44,1362,0.0705277905629755,337577.3438,5027708,337870.874345833,5028418.36491438
NAT-2,31712,45,1362,0.0757379341375127,337878.25,5027308.5,337870.874345833,5028418.36491438
NAT-6,31712,46,1362,0.0700881447357833,337405.6563,5026972,337870.874345833,5028418.36491438
NAT-7,31712,47,1362,0.0646530140739925,338364.5,5028036,337870.874345833,5028418.36491438
NAT-9,31712,48,1362,0.0703575980565507,337702.9688,5027617,337870.874345833,5028418.36491438
NAT-11,31712,49,1362,0.0531593542864971,338428.4688,5027688.5,337870.874345833,5028418.36491438
SWF-1220,31713,40,1363,0.0318149441380133,332384.92576937,5030790.98197647,333739.378481836,5030203.7873445
SWF-1220,31718,40,1364,0.0308094072085112,332384.92576937,5030790.98197647,333706.359866667,5030230.5529
NAT-10,31726,44,1365,0.0781032518063076,337577.3438,5027708,336575.843015339,5028448.0202
NAT-2,31726,45,1365,0.0815967856649418,337878.25,5027308.5,336575.843015339,5028448.0202
NAT-6,31726,46,1365,0.070850686243191,337405.6563,5026972,336575.843015339,5028448.0202
NAT-7,31726,47,1365,0.0796554952111125,338364.5,5028036,336575.843015339,5028448.0202
NAT-9,31726,48,1365,0.0780559226475507,337702.9688,5027617,336575.843015339,5028448.0202
NAT-10,31730,44,1367,0.0745001105235125,337577.3438,5027708,336968.603716915,5028343.73203047
NAT-2,31730,45,1367,0.0801979167026373,337878.25,5027308.5,336968.603716915,5028343.73203047
NAT-6,31730,46,1367,0.0707984674853213,337405.6563,5026972,336968.603716915,5028343.73203047
NAT-7,31730,47,1367,0.0785694129642343,338364.5,5028036,336968.603716915,5028343.73203047
NAT-9,31730,48,1367,0.0752596879944796,337702.9688,5027617,336968.603716915,5028343.73203047
NAT-11,31730,49,1367,0.0624396008429424,338428.4688,5027688.5,336968.603716915,5028343.73203047
NAT-10,31732,44,1368,0.106753362418246,337577.3438,5027708,336358.609079054,5028358.38097036
NAT-2,31732,45,1368,0.10968986380025,337878.25,5027308.5,336358.609079054,5028358.38097036
NAT-6,31732,46,1368,0.0983889153143618,337405.6563,5026972,336358.609079054,5028358.38097036
NAT-9,31732,48,1368,0.106519378552542,337702.9688,5027617,336358.609079054,5028358.38097036
NAT-11,31733,49,1369,0.0660638290243605,338428.4688,5027688.5,340307.509133334,5027453.82456667
NAT-10,31761,44,1370,0.101023822679932,337577.3438,5027708,339317.93808452,5027126.13100425
NAT-2,31761,45,1370,0.0988836400820668,337878.25,5027308.5,339317.93808452,5027126.13100425
NAT-6,31761,46,1370,0.0907493855654593,337405.6563,5026972,339317.93808452,5027126.13100425
NAT-7,31761,47,1370,0.0929074270867261,338364.5,5028036,339317.93808452,5027126.13100425
NAT-9,31761,48,1370,0.0990126926374636,337702.9688,5027617,339317.93808452,5027126.13100425
NAT-11,31761,49,1370,0.0721322470569726,338428.4688,5027688.5,339317.93808452,5027126.13100425
NAT-10,31763,44,1372,0.0647111252673676,337577.3438,5027708,337328.868178629,5027121.0989083
NAT-2,31763,45,1372,0.0619334304461634,337878.25,5027308.5,337328.868178629,5027121.0989083
NAT-6,31763,46,1372,0.0400323201383618,337405.6563,5026972,337328.868178629,5027121.0989083
NAT-7,31763,47,1372,0.0740474134812548,338364.5,5028036,337328.868178629,5027121.0989083
NAT-9,31763,48,1372,0.0623036125324593,337702.9688,5027617,337328.868178629,5027121.0989083
NAT-11,31763,49,1372,0.0559809600278729,338428.4688,5027688.5,337328.868178629,5027121.0989083
NAT-10,31764,44,1373,0.0839685248517253,337577.3438,5027708,337892.376784243,5027141.93570949
NAT-2,31764,45,1373,0.0655374923882945,337878.25,5027308.5,337892.376784243,5027141.93570949
NAT-6,31764,46,1373,0.066923166139208,337405.6563,5026972,337892.376784243,5027141.93570949
NAT-7,31764,47,1373,0.0885519392966883,338364.5,5028036,337892.376784243,5027141.93570949
NAT-9,31764,48,1373,0.0792822304443571,337702.9688,5027617,337892.376784243,5027141.93570949
NAT-11,31764,49,1373,0.0684669979471145,338428.4688,5027688.5,337892.376784243,5027141.93570949
NAT-10,31788,44,1375,0.0779575656897601,337577.3438,5027708,336651.973591677,5027258.49111897
NAT-2,31788,45,1375,0.079158246993296,337878.25,5027308.5,336651.973591677,5027258.49111897
NAT-6,31788,46,1375,0.0642638247636368,337405.6563,5026972,336651.973591677,5027258.49111897
NAT-7,31788,47,1375,0.0817961274789124,338364.5,5028036,336651.973591677,5027258.49111897
NAT-9,31788,48,1375,0.077132793748667,337702.9688,5027617,336651.973591677,5027258.49111897
NAT-11,31788,49,1375,0.0642811539222701,338428.4688,5027688.5,336651.973591677,5027258.49111897
NAT-2,31791,45,1376,0.0866058138555789,337878.25,5027308.5,339803.890100409,5027272.84623533
NAT-7,31791,47,1376,0.0807414715436236,338364.5,5028036,339803.890100409,5027272.84623533
NAT-11,31791,49,1376,0.0613218604759102,338428.4688,5027688.5,339803.890100409,5027272.84623533
NAT-7,31792,47,1377,0.0918087089479702,338364.5,5028036,340168.062706457,5027276.11514668
NAT-11,31792,49,1377,0.0727968151240578,338428.4688,5027688.5,340168.062706457,5027276.11514668
NAT-10,31793,44,1378,0.0826266586661203,337577.3438,5027708,336049.011024572,5028500.08449119
NAT-9,31793,48,1378,0.0819495488412199,337702.9688,5027617,336049.011024572,5028500.08449119
NAT-7,31798,47,1380,0.094925990116028,338364.5,5028036,340187.895755427,5027459.00609775
NAT-11,31798,49,1380,0.0760391046944243,338428.4688,5027688.5,340187.895755427,5027459.00609775
NAT-2,31803,45,1382,0.0853192464603085,337878.25,5027308.5,339674.17954063,5027466.34891484
NAT-7,31803,47,1382,0.0785387942560755,338364.5,5028036,339674.17954063,5027466.34891484
NAT-9,31803,48,1382,0.0849048154664317,337702.9688,5027617,339674.17954063,5027466.34891484
NAT-11,31803,49,1382,0.0587367871679758,338428.4688,5027688.5,339674.17954063,5027466.34891484
NAT-10,31804,44,1383,0.0711896758741869,337577.3438,5027708,336234.25840798,5027453.73185938
NAT-2,31804,45,1383,0.0719898347770415,337878.25,5027308.5,336234.25840798,5027453.73185938
NAT-6,31804,46,1383,0.0583600187051124,337405.6563,5026972,336234.25840798,5027453.73185938
NAT-9,31804,48,1383,0.0702317138626038,337702.9688,5027617,336234.25840798,5027453.73185938
NAT-10,31807,44,1384,0.0718402641782517,337577.3438,5027708,336760.915466667,5027499.5653
NAT-2,31807,45,1384,0.0744113915882192,337878.25,5027308.5,336760.915466667,5027499.5653
NAT-6,31807,46,1384,0.0610715750914976,337405.6563,5026972,336760.915466667,5027499.5653
NAT-7,31807,47,1384,0.0774532214181422,338364.5,5028036,336760.915466667,5027499.5653
NAT-9,31807,48,1384,0.0714793892989159,337702.9688,5027617,336760.915466667,5027499.5653
NAT-11,31807,49,1384,0.0601350209276516,338428.4688,5027688.5,336760.915466667,5027499.5653
NAT-7,31810,47,1385,0.0764692980465689,338364.5,5028036,340070.522061868,5027513.53727098
