Point1,Point2,X1,Y1,X2,Y2
NAT-10,32382,,,336638.973876879,5027761.2855432
NAT-11,32382,,,336638.973876879,5027761.2855432
NAT-7,32383,,,339868.290915148,5027766.98508485
NAT-11,32383,,,339868.290915148,5027766.98508485
NAT-2,32386,,,336899.115754847,5027785.35266577
NAT-6,32386,,,336899.115754847,5027785.35266577
NAT-7,32386,,,336899.115754847,5027785.35266577
NAT-9,32386,,,336899.115754847,5027785.35266577
NAT-10,32386,,,336899.115754847,5027785.35266577
NAT-11,32386,,,336899.115754847,5027785.35266577
NAT-10,32391,,,336981.419779174,5029493.13778394
NAT-7,32398,,,337581.834291892,5029412.97215402
NAT-9,32398,,,337581.834291892,5029412.97215402
NAT-10,32398,,,337581.834291892,5029412.97215402
NAT-11,32398,,,337581.834291892,5029412.97215402
SWF-1220,32425,332384.92576937,5030790.98197647,334227.734509562,5031438.63829593
SWF-1220,32426,332384.92576937,5030790.98197647,334253.5592,5031453.8193
SWF-1221,32439,341406.731597883,5023127.75891249,341422.78343246,5025011.39168207
NAT-2,32448,,,337812.083429774,5026556.64372692
NAT-6,32448,,,337812.083429774,5026556.64372692
NAT-7,32448,,,337812.083429774,5026556.64372692
NAT-9,32448,,,337812.083429774,5026556.64372692
NAT-10,32448,,,337812.083429774,5026556.64372692
NAT-11,32448,,,337812.083429774,5026556.64372692
NAT-2,32457,,,339746.838939822,5028017.73318637
NAT-7,32457,,,339746.838939822,5028017.73318637
NAT-11,32457,,,339746.838939822,5028017.73318637
NAT-2,32459,,,339614.461120238,5027522.2649558
NAT-7,32459,,,339614.461120238,5027522.2649558
NAT-9,32459,,,339614.461120238,5027522.2649558
NAT-11,32459,,,339614.461120238,5027522.2649558
NAT-10,32471,,,335702.859765202,5028055.73104527
NAT-7,32474,,,340258.515207124,5028033.17363331
