OBJECTID,X,Y,geometry
28171,347573.8841,4998240.538,347573.884128364|4998240.53767109
28172,351677.8526,4998347.669,351677.852634322|4998347.66937153
28173,365846.6477,5007744.015,365846.647699037|5007744.01498371
28174,349102.3407,5007770.856,349102.340718681|5007770.85601588
28175,349466.6843,5007817.496,349466.684266667|5007817.496
28176,377705.4991,5007770.38,377705.499137386|5007770.38028619
28177,380833.7974,5007803.483,380833.797365945|5007803.48295222
28178,338653.784,5007811.94,338653.784019294|5007811.93996043
28179,365701.8046,5007790.178,365701.80458923|5007790.17772886
28180,339980.7728,5007832.87,339980.772832563|5007832.87017517
28181,380060.3926,5007687.537,380060.392640108|5007687.53662156
28182,348566.3827,5007655.322,348566.382672015|5007655.32198424
28183,373784.0534,5007814.767,373784.053358158|5007814.76658714
28184,388424.7042,5007852.806,388424.704153761|5007852.80568
28185,346007.7756,5007827.886,346007.77564692|5007827.88582751
28186,392687.188,5007817.623,392687.188038644|5007817.62283004
28187,348751.5579,5007839.952,348751.557882555|5007839.95242016
28188,376395.4357,5007787.19,376395.435675951|5007787.18950273
28189,381012.5881,5007815.833,381012.588108065|5007815.83278109
28190,342140.6378,5008496.917,342140.637776917|5008496.91728653
28191,345088.664,5001883.084,345088.664030338|5001883.08416263
28192,379508.1614,5002212.878,379508.161353096|5002212.87791092
28193,377333.9629,4999078.238,377333.962892653|4999078.23823953
28194,369818.3749,4999057.549,369818.374880394|4999057.54860322
28195,350092.2641,4998883.184,350092.264055279|4998883.18359715
28196,371375.3679,4999143.974,371375.367940446|4999143.97433457
28197,358458.1067,4999086.294,358458.106676519|4999086.29353774
28198,371549.0465,4999101.469,371549.046454801|4999101.46932843
28199,372277.8575,4999131.837,372277.857484015|4999131.83678822
28200,347402.6297,4998770.088,347402.629718676|4998770.08798354
28201,379549.0904,4999129.032,379549.090386656|4999129.03177975
28202,349515.1678,4998939.685,349515.167788044|4998939.68452118
28203,372143.0516,4999200.327,372143.051612271|4999200.32720825
28204,375905.4746,5000401.433,375905.474649501|5000401.43277946
28205,379117.0128,5000394.003,379117.01283781|5000394.00276259
28206,379224.1359,5000358.872,379224.135866279|5000358.87151835
28207,379456.5339,5012459.268,379456.533851873|5012459.2683216
28208,387966.3619,5012674.317,387966.361895286|5012674.31677376
28209,342087.2701,5012742.397,342087.2701|5012742.3967
28210,373071.5264,5012110.82,373071.526442532|5012110.82012718
28211,380368.1979,5012704.696,380368.197941148|5012704.69569571
28212,335907.2366,5012732.751,335907.236575309|5012732.7506109
28213,339392.7888,5012726.081,339392.788777974|5012726.08053271
28214,384926.4437,5012691.614,384926.443715131|5012691.61378501
28215,375268.5374,5015433.415,375268.537437664|5015433.41476843
28216,341150.4321,5015572.436,341150.432059714|5015572.43555501
28217,348392.5251,5015608.465,348392.525066667|5015608.4652
28218,374321.0949,5015622.019,374321.094897176|5015622.01852093
28219,384645.7471,5003031.019,384645.747058438|5003031.01925107
28220,378279.1873,5003139.585,378279.187315289|5003139.58489543
28221,372539.7318,5003108.872,372539.731753321|5003108.87217388
28222,356380.7213,5003136.101,356380.721329917|5003136.10093691
28223,351320.4713,5003469.847,351320.471291395|5003469.84665637
28224,384315.4358,5003562.678,384315.435814231|5003562.67785594
28225,351925.2787,5003564.16,351925.278738273|5003564.16028509
28226,365956.5573,5006131.345,365956.557348015|5006131.34478786
28227,382513.9501,5006204.376,382513.950082177|5006204.37603405
28228,346712.5916,5008226.854,346712.591617378|5008226.85377318
28229,374908.4028,5008238.857,374908.402829753|5008238.85669416
28230,341609.0202,5008390.236,341609.020168762|5008390.23567209
28231,352020.3552,5008339.255,352020.355152052|5008339.2554021
28232,336003.3157,5008392.22,336003.315676349|5008392.22034311
28233,367647.1904,5005912.214,367647.190425843|5005912.21398965
28234,365444.0193,5006631.948,365444.019285666|5006631.94841614
28235,366253.9822,5006701.002,366253.982216269|5006701.00237938
28236,342619.6748,5005963.519,342619.674784809|5005963.51943051
28237,374654.4615,5006277.451,374654.46153006|5006277.45114018
28238,367915.2178,5006181.447,367915.217777539|5006181.44716982
28239,341451.7763,5008535.122,341451.776321157|5008535.12173936
28240,341210.5306,5008548.813,341210.530554373|5008548.81349825
28241,379991.3189,5008494.625,379991.318943678|5008494.62484166
28242,343021.8913,5008525.407,343021.891280957|5008525.4074114
28243,373220.286,5008494.868,373220.285964714|5008494.86791314
28244,339625.9666,5008285.307,339625.96658584|5008285.30692889
28245,344429.4086,4999656.37,344429.408620435|4999656.37002951
28246,343435.1893,5000181.516,343435.189281985|5000181.51632798
28247,353759.3045,4997755.415,353759.304496135|4997755.41544917
28248,377594.282,4997791.715,377594.282011821|4997791.71522936
28249,380116.0167,4997892.426,380116.016684433|4997892.42586087
28250,378927.566,4997873.612,378927.56603683|4997873.61152907
28251,361170.5823,4997802.619,361170.582342225|4997802.61867177
28252,345472.5449,4997771.807,345472.544921016|4997771.80702212
28253,380039.1299,4997917.307,380039.129866667|4997917.30663333
28254,369952.8319,4997795.787,369952.831909174|4997795.78740716
28255,378684.7285,4997903.723,378684.728544234|4997903.72349623
28256,364914.2014,5008730.882,364914.201422413|5008730.88239722
28257,378933.1192,5000377.617,378933.119206474|5000377.6173451
28258,360989.1266,5000488.699,360989.126563169|5000488.69863999
28259,358666.1776,5000478.271,358666.177631292|5000478.27079066
28260,376022.462,5000497.927,376022.461977345|5000497.92708192
28261,340437.4962,5003609.705,340437.496206005|5003609.70525636
28262,369780.3198,5003578.355,369780.319848762|5003578.35515287
28263,341054.1001,5003659.558,341054.100102414|5003659.55807101
28264,376285.9856,5003683.006,376285.985606537|5003683.00569483
28265,343852.835,5003648.965,343852.834971649|5003648.96469873
28266,344119.646,5001344.075,344119.6460336|5001344.07490673
28267,377179.4624,5001341.571,377179.462416205|5001341.57134924
28268,343341.5075,5001365.234,343341.507453727|5001365.23375796
28269,358457.8036,5001297.823,358457.803567838|5001297.82279338
28270,342420.5429,5001421.808,342420.542903852|5001421.80788101
28271,349768.6026,5001463.398,349768.602593813|5001463.39774613
28272,358463.1272,5001454.366,358463.127246277|5001454.36600374
28273,350239.2499,5001423.644,350239.249892394|5001423.64406061
28274,349813.8132,5001507.311,349813.813233333|5001507.3114
28275,387222.651,5001493.522,387222.650989969|5001493.52211978
28276,346347.5734,5001375.012,346347.573350592|5001375.01185659
28277,388319.3644,5001392.414,388319.364440086|5001392.41426813
28278,352362.9964,5003306.851,352362.996391614|5003306.85062199
28279,387156.1209,5003661.677,387156.120915458|5003661.67716315
28280,384720.6758,5003774.754,384720.675843821|5003774.75408341
28281,382510.159,5003616.884,382510.159009854|5003616.88397742
28282,383502.356,5005793.072,383502.356012347|5005793.0721145
28283,340277.6595,5006178.428,340277.659547474|5006178.42772364
28284,375545.8506,5006213.532,375545.85061401|5006213.53175904
28285,374102.6182,5006213.971,374102.618152382|5006213.97054277
28286,385376.8525,5006230.12,385376.852531348|5006230.11957579
