OBJECTID,X,Y,geometry
26747,356257.863058879,4988819.68148472,356257.863058879|4988819.68148472
26781,354938.235138591,4988906.55900789,354938.235138591|4988906.55900789
26784,354933.6928,4989043.62093333,354933.6928|4989043.62093333
26786,355963.878802964,4989017.6560908,355963.878802964|4989017.6560908
26790,355173.726369013,4989078.20789094,355173.726369013|4989078.20789094
26793,356163.028662756,4989118.59644851,356163.028662756|4989118.59644851
26794,354944.053532542,4989105.30226517,354944.053532542|4989105.30226517
26795,355039.161266667,4989140.80306667,355039.161266667|4989140.80306667
26827,355942.010523608,4991156.0310594,355942.010523608|4991156.0310594
26919,356276.897433333,4989234.52156667,356276.897433333|4989234.52156667
26920,353541.207236284,4989206.3605061,353541.207236284|4989206.3605061
26923,355336.360352115,4989286.85269771,355336.360352115|4989286.85269771
26924,355143.024963867,4989198.92362602,355143.024963867|4989198.92362602
26925,353869.725848523,4989229.12145029,353869.725848523|4989229.12145029
26928,356313.735690423,4989323.78894224,356313.735690423|4989323.78894224
26929,355199.10890171,4989345.41468443,355199.10890171|4989345.41468443
26932,355749.263077691,4989404.00178298,355749.263077691|4989404.00178298
26933,354187.463880465,4989409.33008317,354187.463880465|4989409.33008317
27001,354060.72129835,4989426.54518734,354060.72129835|4989426.54518734
27002,354076.679401492,4989560.29656131,354076.679401492|4989560.29656131
27004,356211.923830163,4989585.74833104,356211.923830163|4989585.74833104
27012,355703.887092058,4989731.1323015,355703.887092058|4989731.1323015
27101,357139.4922,4989924.06696667,357139.4922|4989924.06696667
27109,356816.987548605,4989998.52240987,356816.987548605|4989998.52240987
27111,356515.878459849,4990056.36536534,356515.878459849|4990056.36536534
27112,356097.695842165,4989824.52898863,356097.695842165|4989824.52898863
27116,354575.06854859,4990092.56728689,354575.06854859|4990092.56728689
27202,335704.426489035,5028333.19873964,335704.426489035|5028333.19873964
27204,335754.0672,5028440.7445,335754.0672|5028440.7445
27221,353567.359166667,4989469.9539,353567.359166667|4989469.9539
27294,353763.307074818,4990366.54519477,353763.307074818|4990366.54519477
27297,356456.0271,4990422.05296667,356456.0271|4990422.05296667
27305,356456.186221444,4990461.644788,356456.186221444|4990461.644788
27377,353606.388347416,4990740.07300021,353606.388347416|4990740.07300021
27378,354730.995504327,4990522.33600531,354730.995504327|4990522.33600531
27384,354658.440102769,4990577.65664164,354658.440102769|4990577.65664164
27386,353719.784562872,4990581.46939807,353719.784562872|4990581.46939807
27387,356528.142045238,4990590.3467252,356528.142045238|4990590.3467252
27389,356504.777733333,4990628.26573333,356504.777733333|4990628.26573333
27392,356495.4643,4990651.85683333,356495.4643|4990651.85683333
27395,357143.11295773,4990682.57552099,357143.11295773|4990682.57552099
27396,356416.266581892,4990700.3123052,356416.266581892|4990700.3123052
27399,356352.162550842,4990737.02208281,356352.162550842|4990737.02208281
27466,356422.786293728,4990876.55412274,356422.786293728|4990876.55412274
27467,356078.140602685,4990902.87163233,356078.140602685|4990902.87163233
27471,356289.577974331,4990939.9846967,356289.577974331|4990939.9846967
27473,356996.860901246,4990961.41723881,356996.860901246|4990961.41723881
27474,356194.83010226,4991011.72792283,356194.83010226|4991011.72792283
27476,354059.851955698,4990823.51933116,354059.851955698|4990823.51933116
27477,356126.476575802,4991039.59717782,356126.476575802|4991039.59717782
27479,356949.915915158,4991059.59744411,356949.915915158|4991059.59744411
